"","title","year","length","rating","votes","budget","budget class"
"4706","Bear, The",1984,110,5.9,135,221000,"0-10"
"4712","Beast From 20,000 Fathoms, The",1953,80,6.3,577,210000,"0-10"
"4722","Beast of Yucca Flats, The",1961,54,1.5,594,34000,"0-10"
"4723","Beast of the City, The",1932,86,7.3,112,230000,"0-10"
"4726","Beast with a Million Eyes, The",1956,75,3.2,119,23000,"0-10"
"4727","Beaster",2004,10,6.9,9,5000,"0-10"
"4731","Beastmaster 2: Through the Portal of Time",1991,107,3.1,564,6000000,"0-10"
"4741","Beat the Devil",1953,100,6.6,1034,1000000,"0-10"
"4742","Beat the Drum",2003,114,7,26,1500000,"0-10"
"4746","Beat, The",2003,85,8.5,22,700000,"0-10"
"4769","Beautiful",2000,112,5.3,991,9000000,"0-10"
"4774","Beautiful Country, The",2004,137,6.9,115,6000000,"0-10"
"4780","Beautiful Mind, A",2001,135,7.8,43291,60000000,"60-70"
"4798","Beauty in Chaos",2004,120,8.8,11,30000,"0-10"
"4805","Beavis and Butt-Head Do America",1996,81,6.2,9491,12000000,"10-20"
"4813","Because of Winn-Dixie",2005,106,5.9,483,14000000,"10-20"
"4816","Beccerra",2002,30,7.1,14,3000,"0-10"
"4819","Becket",1964,148,8,1538,3000000,"0-10"
"4820","Becky Sharp",1935,67,6.2,103,950000,"0-10"
"4829","Bedazzled",2000,93,5.9,11439,48000000,"40-50"
"4836","Bedknobs and Broomsticks",1971,139,6.5,2614,20000000,"20-30"
"4868","Beer Muscles",2004,90,9.3,11,5000,"0-10"
"4878","Beetle Juice",1988,92,7.1,20966,15000000,"10-20"
"4884","Before Sunrise",1995,105,7.8,9618,2500000,"0-10"
"4885","Before Sunset",2004,80,8.3,8789,10000000,"10-20"
"4903","Begotten",1991,78,5.8,405,33000,"0-10"
"4913","Behind Enemy Lines",2001,106,6.1,10856,40000000,"40-50"
"4937","Behold a Pale Horse",1964,121,6.7,114,3900000,"0-10"
"4952","Being Human",1993,122,4.8,966,30000000,"30-40"
"4953","Being John Malkovich",1999,113,7.9,55079,13000000,"10-20"
"4954","Being Julia",2004,104,7.2,1671,18000000,"10-20"
"4970","Bela Donna",1998,111,4.7,127,5500000,"0-10"
"4971","Bela Lugosi Meets a Brooklyn Gorilla",1952,74,2.6,161,50000,"0-10"
"5009","Bellboy, The",1960,72,6.1,369,900000,"0-10"
"5025","Belle of New York, The",1952,82,5.7,98,2606644,"0-10"
"5027","Belle of the Nineties",1934,73,6.3,84,800000,"0-10"
"5042","Bells Are Ringing",1960,127,6.8,386,2203123,"0-10"
"5046","Bells of Innocence",2003,110,2.7,82,2750000,"0-10"
"5052","Belly",1998,96,4.5,1034,10000000,"10-20"
"5054","Belly of the Beast",2003,91,4.2,638,18000000,"10-20"
"5061","Beloved",1998,172,5.6,1934,53000000,"50-60"
"5074","Below the Belt",2004,95,7.9,15,1500000,"0-10"
"5098","Ben-Hur",1925,151,8,848,3900000,"0-10"
"5099","Ben-Hur",1959,214,8.1,21031,15000000,"10-20"
"5108","Beneath the Planet of the Apes",1970,95,5.8,3568,3000000,"0-10"
"5109","Beneath the Valley of the Ultra-Vixens",1979,93,5.2,402,239000,"0-10"
"5119","Benji",1974,86,5.7,679,500000,"0-10"
"5133","Beowulf",1999,99,3.7,2058,20000000,"20-30"
"5207","Best Foot Forward",1943,94,6.2,97,1125502,"0-10"
"5212","Best Laid Plans",1999,92,6.3,1795,7000000,"0-10"
"5226","Best Years of Our Lives, The",1946,172,8.4,6138,2100000,"0-10"
"5227","Best in Show",2000,90,7.5,11790,6000000,"0-10"
"5256","Betrayal",2003,90,4.7,157,750000,"0-10"
"5270","Better Luck Tomorrow",2002,98,7.3,2697,250000,"0-10"
"5272","Better Place, A",1997,87,5.8,447,100000,"0-10"
"5276","Better Than Sex",2002,92,6.8,90,300000,"0-10"
"5279","Bettie Page: Dark Angel",2004,90,3.4,21,50000,"0-10"
"5335","Beverly Hills Cop",1984,105,7.1,16360,15000000,"10-20"
"5336","Beverly Hills Cop II",1987,100,5.8,10446,20000000,"20-30"
"5337","Beverly Hills Cop III",1994,104,4.7,6519,50000000,"50-60"
"5355","Beyond Atlantis",1973,91,3.9,47,200000,"0-10"
"5358","Beyond Borders",2003,127,5.4,1905,35000000,"30-40"
"5363","Beyond Expectations",1998,94,7.6,5,60000,"0-10"
"5371","Beyond Rangoon",1995,100,6.4,1285,23000000,"20-30"
"5372","Beyond Re-Animator",2003,96,6.1,908,3000000,"0-10"
"5394","Beyond the Mat",1999,108,7.3,2243,500000,"0-10"
"5397","Beyond the Pale",1999,96,6.2,62,350000,"0-10"
"5404","Beyond the Sea",2004,118,6.7,1051,24000000,"20-30"
"5405","Beyond the Time Barrier",1960,75,4.3,79,125000,"0-10"
"5406","Beyond the Valley of the Dolls",1970,111,5.4,1575,900000,"0-10"
"5441","Bible!",1974,84,3.6,11,35000,"0-10"
"5442","Bible, The",1966,174,5.2,411,18000000,"10-20"
"5447","Bicentennial Man",1999,132,6.2,8925,100000000,"100-110"
"5470","Big",1988,104,7.2,18660,18000000,"10-20"
"5488","Big Bounce, The",2004,88,4.7,2505,50000000,"50-60"
"5491","Big Brass Ring, The",1999,104,5.4,271,7000000,"0-10"
"5498","Big Bully",1996,90,4.2,781,15000000,"10-20"
"5522","Big Daddy",1999,93,5.9,18258,34200000,"30-40"
"5525","Big Doll House, The",1971,95,4.6,194,125000,"0-10"
"5532","Big Fat Liar",2002,88,5.5,2453,15000000,"10-20"
"5535","Big Fish",2003,125,8.1,31525,70000000,"70-80"
"5536","Big Fisherman, The",1959,180,5.8,54,4000000,"0-10"
"5552","Big Hit, The",1998,91,5.7,6206,13000000,"10-20"
"5561","Big Jim McLain",1952,90,4.3,266,826000,"0-10"
"5567","Big Lebowski, The",1998,117,8,50179,15000000,"10-20"
"5573","Big Momma's House",2000,98,4.7,7509,30000000,"30-40"
"5584","Big Parade, The",1925,126,8.7,435,245000,"0-10"
"5586","Big Picture, The",1989,100,6.4,1124,5000000,"0-10"
"5608","Big Snatch, The",1968,77,4.4,17,11000,"0-10"
"5626","Big Tease, The",1999,86,6.1,670,4000000,"0-10"
"5639","Big Trouble",2002,85,6.4,4088,40000000,"40-50"
"5640","Big Trouble in Little China",1986,99,6.7,10803,25000000,"20-30"
"5642","Big Wednesday",1978,120,6.6,819,11000000,"10-20"
"5657","Bigger Than the Sky",2005,106,7.3,32,750000,"0-10"
"5664","Bijou",1972,77,6.9,6,22000,"0-10"
"5671","Bikini Beach",1964,99,4.9,149,600000,"0-10"
"5691","Bill & Ted's Bogus Journey",1991,93,5.6,8152,20000000,"20-30"
"5692","Bill & Ted's Excellent Adventure",1989,90,6.6,12277,10000000,"10-20"
"5697","Bill of Divorcement, A",1932,70,6.5,183,300000,"0-10"
"5717","Billy Elliot",2000,110,7.7,16725,5000000,"0-10"
"5720","Billy Jack",1971,114,5.5,994,800000,"0-10"
"5760","Bingo",1991,89,4.1,374,10000000,"10-20"
"5763","Bingo Bus, A",2004,30,6.6,7,4000,"0-10"
"5775","Biohazard",1984,84,3.2,40,250000,"0-10"
"5784","Bird",1988,161,7.1,1243,9000000,"0-10"
"5805","Birds, The",1963,119,7.8,20072,2500000,"0-10"
"5808","Birdy in the Cage",2003,9,9,5,2000,"0-10"
"5810","Birth",2004,100,6,2600,20000000,"20-30"
"5812","Birth of a Nation, The",1915,125,7.1,2617,110000,"0-10"
"5816","Birth of the Blues",1941,87,6.2,48,857283,"0-10"
"5818","Birthday Girl",2001,93,6.1,5340,13000000,"10-20"
"5857","Bitter Old Man",2003,7,8.8,8,2000,"0-10"
"5898","Black Canyon",2004,25,9.9,9,3000,"0-10"
"5900","Black Cat, The",1934,65,7.2,788,95745,"0-10"
"5905","Black Cauldron, The",1985,80,6.2,1895,44000000,"40-50"
"5933","Black Gold",1947,90,6,17,450000,"0-10"
"5935","Black Gulch",2003,15,6,20,55000,"0-10"
"5940","Black Hawk Down",2001,142,7.6,32530,90000000,"90-100"
"5942","Black Hills",1948,60,5.6,10,414000,"0-10"
"5943","Black Hole, The",1979,98,5.4,3425,18500000,"10-20"
"5957","Black Knight",2001,95,4.1,3822,50000000,"50-60"
"5959","Black Legion",1937,83,6.8,218,235000,"0-10"
"5991","Black Rain",1989,125,6.3,5636,14000000,"10-20"
"5997","Black Room, The",1984,87,4.5,33,250000,"0-10"
"6017","Black Sleep, The",1956,82,5.5,72,225000,"0-10"
"6018","Black Snake",1973,82,3.7,61,300000,"0-10"
"6022","Black Stallion, The",1979,118,7,1822,2700000,"0-10"
"6045","Black and White",1999,98,5.2,1699,10000000,"10-20"
"6050","Black-Eyed Susan",2004,105,7.4,5,50000,"0-10"
"6078","Blacktop",2000,100,4.7,192,3500000,"0-10"
"6080","Blackwater Elegy",2003,19,9,10,40000,"0-10"
"6086","Blade",1998,110,6.8,24372,45000000,"40-50"
"6087","Blade II",2002,108,6.6,17139,55000000,"50-60"
"6088","Blade Runner",1982,117,8.2,74749,28000000,"20-30"
"6090","Blade: Trinity",2004,124,5.7,7439,65000000,"60-70"
"6097","Blair Witch Mountain Project, The",2002,12,2.8,20,7000,"0-10"
"6098","Blair Witch Project, The",1999,86,6.1,39814,35000,"0-10"
"6110","Blanche Fury",1947,90,6.6,72,1500000,"0-10"
"6120","Blast from the Past",1999,112,6.4,9483,35000000,"30-40"
"6133","Blaze Orange",2005,16,9.6,7,0,"0-10"
"6140","Blazing Saddles",1974,93,7.7,17166,2600000,"0-10"
"6160","Bless the Child",2000,107,5,3814,40000000,"40-50"
"6166","Blessing of Prometheus, The",2000,20,6.1,18,0,"0-10"
"6188","Blind Horizon",2003,99,5.5,801,5100000,"0-10"
"6189","Blind Husbands",1919,68,7.4,81,125000,"0-10"
"6206","Blink",1994,106,6.1,1517,11000000,"10-20"
"6220","Blitz",2002,28,6.3,6,5000,"0-10"
"6225","Blob, The",1958,82,6,2143,240000,"0-10"
"6226","Blob, The",1988,95,5.5,2484,9000000,"0-10"
"6278","Blondie of the Follies",1932,91,6,53,602620,"0-10"
"6295","Blood & Guts",1978,94,4.6,14,700000,"0-10"
"6296","Blood Alley",1955,115,5.7,316,2000000,"0-10"
"6310","Blood Feast",1963,58,4.5,515,24500,"0-10"
"6323","Blood Money",1933,65,7.6,20,238591,"0-10"
"6336","Blood Shot",2002,28,4.5,22,35000,"0-10"
"6350","Blood Work",2002,110,6.3,5965,50000000,"50-60"
"6357","Blood and Wine",1996,101,6,2134,26000000,"20-30"
"6368","Blood of Jesus, The",1941,68,4.5,44,5000,"0-10"
"6369","Blood of the Beast",2003,74,9.1,23,2000,"0-10"
"6373","Blood of the Samurai",2001,75,6.5,18,2000,"0-10"
"6379","Blood, Guts, Bullets and Octane",1998,87,5.3,285,7300,"0-10"
"6396","Bloodletting",1997,89,4.8,47,10000,"0-10"
"6398","Bloodline",1979,116,3.9,160,12000000,"10-20"
"6416","Bloodsucking Pharaohs in Pittsburgh",1991,89,3.6,80,250000,"0-10"
"6420","Bloody Brood, The",1959,80,4.2,11,80000,"0-10"
"6431","Bloody Sunday",2002,107,7.6,2388,5000000,"0-10"
"6434","Bloom",2004,7,6.8,9,0,"0-10"
"6442","Blotter",2004,20,7.1,7,15000,"0-10"
"6444","Blow",2001,124,7.1,18670,30000000,"30-40"
"6450","Blow Out",1981,108,7,3563,18000000,"10-20"
"6454","Blowing Wild",1953,90,5.6,67,1000000,"0-10"
"6458","Blowup",1966,111,7.4,4194,1800000,"0-10"
"6468","Blue Bird, The",1976,99,3.9,148,12000000,"10-20"
"6479","Blue Citrus Hearts",2003,115,7,34,3000,"0-10"
"6484","Blue Crush",2002,104,5.7,4791,30000000,"30-40"
"6501","Blue Hill Avenue",2001,120,6.6,85,1200000,"0-10"
"6508","Blue Lagoon, The",1980,104,4.7,4324,4500000,"0-10"
"6513","Blue Moon",1998,90,6.8,23,1000,"0-10"
"6527","Blue Skies",1946,104,6.3,160,3000000,"0-10"
"6532","Blue Streak",1999,93,5.8,7952,36000000,"30-40"
"6537","Blue Velvet",1986,120,7.7,18756,6000000,"0-10"
"6542","Blue in Green",2005,91,9.1,13,50000,"0-10"
"6543","Blue in the Face",1995,83,6.4,2306,2000000,"0-10"
"6553","Bluefish",2003,24,7.6,5,7000,"0-10"
"6556","Blues Brothers 2000",1998,123,4.5,5267,28000000,"20-30"
"6557","Blues Brothers, The",1980,148,7.7,28964,27000000,"20-30"
"6559","Blues Lahofesh Hagadol",1987,101,7.8,54,350000,"0-10"
"6580","Boat Trip",2002,97,4.5,2991,20000000,"20-30"
"6583","Bob & Carol & Ted & Alice",1969,101,6,607,2000000,"0-10"
"6639","Body Double",1984,114,6.3,3543,10000000,"10-20"
"6645","Body Parts",1991,88,4.6,604,10000000,"10-20"
"6664","Body of Evidence",1993,102,4.1,2625,30000000,"30-40"
"6665","Body of Influence 2",1996,87,3.4,44,1200000,"0-10"
"6685","Bogus",1996,110,5,1007,32000000,"30-40"
"6694","Boiler Room",2000,118,6.8,8586,9000000,"0-10"
"6710","Bold Caballero, The",1936,67,4.9,15,100000,"0-10"
"6755","Bombshell",1933,96,7.8,295,344000,"0-10"
"6768","Bon voyage",2003,115,7.2,1061,20000000,"20-30"
"6779","Bone Collector, The",1999,118,6.2,17766,48000000,"40-50"
"6781","Bone Snatcher, The",2003,96,4.1,400,6000000,"0-10"
"6786","Bones",2001,96,4.2,1418,16000000,"10-20"
"6790","Bonfire of the Vanities, The",1990,125,5,4151,47000000,"40-50"
"6808","Bonnie and Clyde",1967,111,7.9,12653,2500000,"0-10"
"6811","Bono",2004,97,1,14,250000,"0-10"
"6830","Boogens, The",1982,95,4.2,155,600000,"0-10"
"6831","Boogeyman",2005,89,4.1,2055,20000000,"20-30"
"6837","Boogie Nights",1997,156,7.6,27380,15000000,"10-20"
"6841","Book That Wrote Itself, The",1999,71,4.5,66,25000,"0-10"
"6842","Book and the Rose, The",2001,29,9,10,40000,"0-10"
"6846","Book of Life, The",1998,63,6.7,551,350000,"0-10"
"6851","Book of Mormon Movie, Volume 1: The Journey, The",2003,120,3.4,142,2000000,"0-10"
"6854","Book of Shadows: Blair Witch 2",2000,90,4.2,6532,15000000,"10-20"
"6862","Boom",1968,110,4,166,10000000,"10-20"
"6864","Boom Town",1940,119,7,312,2000000,"0-10"
"6867","Boomerang",1992,118,5.1,3530,42000000,"40-50"
"6878","Boot, Das",1981,216,8.5,28920,14000000,"10-20"
"6955","Born Losers, The",1967,113,5.4,223,360000,"0-10"
"6967","Born on the Fourth of July",1989,145,7,11480,14000000,"10-20"
"6968","Born to Be Bad",1934,62,5.6,59,252238,"0-10"
"6988","Borrowers, The",1997,89,5.6,1457,29000000,"20-30"
"7005","Bossu, Le",1997,128,7.1,668,30000000,"30-40"
"7024","Bottle Rocket",1996,92,7.4,7286,7000000,"0-10"
"7025","Bottle and the Throttle, The",1968,10,3.8,7,1000,"0-10"
"7031","Bottomfeeders",2001,92,7.4,7,500000,"0-10"
"7057","Bounce",2000,106,5.8,5390,35000000,"30-40"
"7061","Bound",1996,109,7.5,11911,4500000,"0-10"
"7064","Bound by Honor",1993,190,7.4,2499,35000000,"30-40"
"7079","Bourne Identity, The",2002,119,7.3,29871,75000000,"70-80"
"7080","Bourne Supremacy, The",2004,108,7.3,19878,75000000,"70-80"
"7100","Bowery, The",1933,92,7.3,48,421496,"0-10"
"7101","Bowfinger",1999,97,6.4,15000,55000000,"50-60"
"7104","Bowling for Columbine",2002,120,8.5,36747,4000000,"0-10"
"7109","Boxcar Bertha",1972,92,5.8,590,600000,"0-10"
"7110","Boxed",2002,80,6.5,9,500000,"0-10"
"7115","Boxers and Ballerinas",2004,90,7.7,7,85000,"0-10"
"7156","Boy s tenyu",2005,132,4.8,77,3500000,"0-10"
"7163","Boy-Next-Door",2004,17,9.4,19,50000,"0-10"
"7170","Boys Beware",1961,10,4.2,21,1000,"0-10"
"7174","Boys Don't Cry",1999,118,7.6,14456,2000000,"0-10"
"7181","Boys Next Door, The",1986,90,5.8,308,5000000,"0-10"
"7182","Boys Night Out",1996,34,7.7,9,30000,"0-10"
"7188","Boys and Girls",2000,94,4.9,3483,16000000,"10-20"
"7190","Boys from Brazil, The",1978,123,6.8,2826,12000000,"10-20"
"7196","Boys in the Band, The",1970,118,7.3,448,5500000,"0-10"
"7197","Boys in the Sand",1971,90,7.8,14,8000,"0-10"
"7204","Boys on the Side",1995,115,6.1,2775,21000000,"20-30"
"7211","Boyz n the Hood",1991,107,7.7,10319,6000000,"0-10"
"7217","Brady Bunch Movie, The",1995,90,5.6,4636,12000000,"10-20"
"7221","Brain Eaters, The",1958,60,3.6,113,30000,"0-10"
"7223","Brain That Wouldn't Die, The",1962,82,3,953,62000,"0-10"
"7224","Brain from Planet Arous, The",1957,70,4.1,224,58000,"0-10"
"7229","Braindead",1992,97,7.5,11552,3000000,"0-10"
"7234","Brainstorm",1983,106,6.2,1956,15000000,"10-20"
"7268","Brat 2",2000,122,6.7,528,1500000,"0-10"
"7269","Brat, The",1931,60,2,12,243093,"0-10"
"7288","Braveheart",1995,177,8.3,92437,53000000,"50-60"
"7290","Bravo Two Zero",1999,115,6.5,578,6500000,"0-10"
"7293","Brazil",1985,94,8,30735,15000000,"10-20"
"7297","Bread, My Sweet, The",2001,105,6.8,257,600000,"0-10"
"7299","Break Up",1998,100,5.1,393,9000000,"0-10"
"7308","Breakdown",1997,95,6.7,7099,36000000,"30-40"
"7313","Breakfast at Tiffany's",1961,115,7.7,12246,2500000,"0-10"
"7317","Breakfast of Champions",1999,110,4.2,2250,12000000,"10-20"
"7323","Breaking All the Rules",1985,91,4.8,76,2032000,"0-10"
"7352","Breathing Room",1996,90,4,39,500000,"0-10"
"7359","Breed, The",2001,91,4.7,582,4000000,"0-10"
"7392","Bride & Prejudice",2004,122,6.3,1503,7000000,"0-10"
"7403","Bride of Chucky",1998,89,5.2,4449,25000000,"20-30"
"7404","Bride of Frankenstein",1935,75,8.1,4734,397000,"0-10"
"7412","Bride of the Wind",2001,99,5.2,201,12000000,"10-20"
"7422","Bridge Too Far, A",1977,176,7,5527,26000000,"20-30"
"7425","Bridge of Dragons",1999,95,3.7,373,4000000,"0-10"
"7427","Bridge on the River Kwai, The",1957,161,8.4,22408,3000000,"0-10"
"7433","Bridges of Madison County, The",1995,135,6.9,7633,22000000,"20-30"
"7436","Bridget Jones's Diary",2001,97,7,24791,26000000,"20-30"
"7437","Bridget Jones: The Edge of Reason",2004,108,5.7,6636,70000000,"70-80"
"7451","Brigadoon",1954,108,6.8,1286,2352625,"0-10"
"7457","Brigham City",2001,119,7.1,405,1000000,"0-10"
"7481","Bring It On",2000,98,6.1,11784,10000000,"10-20"
"7482","Bring Me the Head of Alfredo Garcia",1974,112,7.1,1163,1500000,"0-10"
"7490","Bringing Down the House",2003,105,5.6,6501,35000000,"30-40"
"7491","Bringing Out the Dead",1999,121,6.7,13989,32000000,"30-40"
"7492","Bringing Rain",2003,82,5.6,32,150000,"0-10"
"7503","Broadcast 23",2005,7,5.7,18,2500,"0-10"
"7510","Broadway Bad",1933,61,6,10,239308,"0-10"
"7513","Broadway Danny Rose",1984,84,7.3,2661,8000000,"0-10"
"7520","Broadway Melody, The",1929,101,6,378,379000,"0-10"
"7541","Broken Arrow",1996,108,5.7,14415,65000000,"60-70"
"7544","Broken Blossoms or The Yellow Man and the Girl",1919,90,7.4,789,88000,"0-10"
"7553","Broken Hearts Club: A Romantic Comedy, The",2000,94,6.8,1712,1000000,"0-10"
"7559","Broken Lullaby",1932,76,7.2,66,889154,"0-10"
"7568","Broken Vessels",1998,90,6.1,223,600000,"0-10"
"7580","Bronx Tale, A",1993,121,7.5,9175,22000000,"20-30"
"7586","Brooklyn Bound",2004,90,4.2,30,70000,"0-10"
"7597","Brother",2000,114,7.1,4322,12000000,"10-20"
"7608","Brother from Another Planet, The",1984,106,6.7,1133,300000,"0-10"
"7620","Brothers McMullen, The",1995,98,6.4,2325,23800,"0-10"
"7623","Brothers in Arms",2003,68,4.6,23,500000,"0-10"
"7630","Brown Bunny, The",2003,119,5.1,1045,10000000,"10-20"
"7632","Brown Sugar",2002,109,5.9,941,8000000,"0-10"
"7639","Bruce Almighty",2003,101,6.4,23905,81000000,"80-90"
"7651","Bruce, The",1996,90,4.5,79,500000,"0-10"
"7661","Bruno",2000,108,6,295,10000000,"10-20"
"7677","Brylcreem Boys, The",1998,106,6,199,6000000,"0-10"
"7691","Bubba Ho-tep",2002,92,7.5,7142,1000000,"0-10"
"7694","Bubble Boy",2001,84,5.1,2904,13000000,"10-20"
"7712","Buck Privates",1941,84,6.8,461,180000,"0-10"
"7722","Bucket of Blood, A",1959,66,6.6,416,25000,"0-10"
"7732","Budbringeren",1997,83,6.8,732,2100000,"0-10"
"7742","Buddy Buddy",1981,96,6.2,761,10000000,"10-20"
"7754","Buena onda",1999,11,5.2,10,2000,"0-10"
"7760","Buffalo '66",1998,110,7.2,6652,1500000,"0-10"
"7763","Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,123,5.6,452,6000000,"0-10"
"7770","Buffalo Soldiers",2001,98,7,3753,15000000,"10-20"
"7777","Bug Buster",1998,93,2.9,268,8500000,"0-10"
"7778","Bug Man, The",2003,22,6.7,16,28000,"0-10"
"7781","Bug's Life, A",1998,96,7.4,23184,45000000,"40-50"
"7796","Bugsy",1991,134,6.6,4159,40000000,"40-50"
"7813","Bull Durham",1988,108,7.1,8434,7000000,"0-10"
"7815","Bulldog Drummond",1929,90,6.6,91,550000,"0-10"
"7834","Bullet for Pretty Boy, A",1970,89,3.5,31,350000,"0-10"
"7840","Bulletproof",1988,93,3.8,155,5000000,"0-10"
"7842","Bulletproof Monk",2003,104,5.2,5405,52000000,"50-60"
"7843","Bullets Over Broadway",1994,98,7.4,6685,20000000,"20-30"
"7850","Bullitt",1968,113,7.3,6191,5500000,"0-10"
"7861","Bulworth",1998,108,6.9,8277,30000000,"30-40"
"7866","Bumer",2003,110,6.5,264,700000,"0-10"
"7897","Buono, il brutto, il cattivo, Il",1966,180,8.8,30224,1200000,"0-10"
"7909","Burglar, The",1957,90,7,47,90000,"0-10"
"7911","Burial Society, The",2002,94,6.5,52,1500000,"0-10"
"7947","Burning, The",1981,89,4.7,546,1500000,"0-10"
"7957","Burying Dvorak",2003,19,9.4,8,5000,"0-10"
"7975","Bushmen",2004,15,8.3,7,10000,"0-10"
"7979","Business of Fancydancing, The",2002,103,7.3,195,200000,"0-10"
"7983","Bussed",2003,31,5.2,9,10000,"0-10"
"7999","Busting Out",2004,57,9.4,5,100000,"0-10"
"8007","But I'm a Cheerleader",1999,85,6.2,3897,1200000,"0-10"
"8027","Butterfly Effect, The",2004,120,7.6,22975,13000000,"10-20"
"8078","C'era una volta il West",1968,158,8.7,17241,5000000,"0-10"
"8097","C.H.U.D.",1984,96,4.3,834,1250000,"0-10"
"8106","CQ",2001,91,6.4,1315,7000000,"0-10"
"8117","Cabaret",1972,124,7.8,7176,6000000,"0-10"
"8125","Cabin Fever",2002,93,5.1,7776,1500000,"0-10"
"8127","Cabin in the Sky",1943,98,7.3,260,662141,"0-10"
"8132","Cabiria",1914,162,7.6,216,210000,"0-10"
"8133","Cable Guy, The",1996,96,5.5,16266,47000000,"40-50"
"8148","Cachimba",2004,127,6.6,22,950000,"0-10"
"8167","Caddyshack",1980,98,7.1,13453,6000000,"0-10"
"8187","Cafe Society",1995,104,5.7,137,3500000,"0-10"
"8189","Caffeine Headache",2003,24,7.7,9,2000,"0-10"
"8205","Caged Heat",1974,83,4.9,295,180000,"0-10"
"8243","Calendar Girl",1993,90,4.7,464,13000000,"10-20"
"8254","California Casanova",1991,90,4.9,30,350000,"0-10"
"8272","Call Her Savage",1932,89,6.9,91,489652,"0-10"
"8306","Calling Bobcat",2000,91,5,42,230000,"0-10"
"8319","Callous Sentiment",2002,13,7.7,11,10000,"0-10"
"8333","Cama adentro",2004,83,7.3,12,800000,"0-10"
"8345","Camelot",1967,179,6.1,1241,17000000,"10-20"
"8356","Cameron's Closet",1989,86,3.9,113,7000000,"0-10"
"8360","Camille",1936,109,7.4,674,1486000,"0-10"
"8381","Camp Pacific",2002,29,9.1,21,35000,"0-10"
"8382","Camp Slaughter",2004,95,2,180,350000,"0-10"
"8390","Campanadas a medianoche",1965,115,8.3,460,800000,"0-10"
"8417","Can't Be Heaven",2000,94,5.7,104,2000000,"0-10"
"8419","Can't Hardly Wait",1998,101,6.2,8191,10000000,"10-20"
"8422","Can't Stop the Music",1980,118,3.4,512,20000000,"20-30"
"8424","Can-Can",1960,131,6,311,6000000,"0-10"
"8431","Canadian Bacon",1995,91,5.5,3514,11000000,"10-20"
"8463","Candyman",1992,99,6.3,4735,8000000,"0-10"
