"","title","year","length","rating","votes","budget","genre"
"36852","Non-Abductees Anonymous",2001,4,7.2,11,15000,"comedy"
"36859","Noodle Soup",2003,8,8.2,7,15000,"comedy"
"36892","Noro",2002,85,5.4,12,500000,"drama"
"36910","North of Providence",2003,28,9.7,7,10000,"drama"
"36917","North to Alaska",1960,122,6.7,777,3500000,"comedy"
"36924","Northfork",2003,103,6.2,1521,1900000,"drama"
"36964","Not Another Teen Movie",2001,89,5.2,10295,16000000,"comedy"
"36980","Not as a Stranger",1955,135,6.6,223,2000000,"drama"
"36994","Nothing But Trouble",1991,94,3.7,3909,40000000,"comedy"
"36995","Nothing But a Man",1964,95,7.6,136,160000,"drama"
"37002","Nothing Lasts Forever",1984,82,6.3,90,3000000,"comedy"
"37006","Nothing Really Happens: Memories of Aging Strippers",2003,93,8.1,7,300000,"drama"
"37011","Nothing to Lose",1996,108,4.7,138,200000,"drama"
"37013","Notorious",1946,101,8.3,10637,2000000,"romance"
"37055","November",2004,73,2.8,164,300000,"drama"
"37136","Nueve reinas",2000,114,7.6,3721,1500000,"drama"
"37176","Nun Fu",2005,5,9.8,5,5000,"action"
"37179","Nun's Story, The",1959,149,7.4,1197,3500000,"drama"
"37214","Nutty Professor II: The Klumps",2000,109,4.5,5825,84000000,"comedy"
"37231","O Brother, Where Art Thou?",2000,106,7.8,37961,26000000,"comedy"
"37234","O da beni seviyor",2001,106,6.4,26,1500000,"drama"
"37248","O.C. and Stiggs",1987,109,5,286,7000000,"comedy"
"37293","Obsession",1976,94,6.9,924,1400000,"drama"
"37324","Ocean's Eleven",2001,116,7.5,44662,85000000,"comedy"
"37325","Ocean's Twelve",2004,125,6,14797,110000000,"comedy"
"37345","Octopussy",1983,131,6.4,8331,27500000,"action"
"37399","Of Age",2004,5,9.9,7,1000,"drama"
"37445","Office Space",1999,89,7.7,26134,10000000,"comedy"
"37468","Ogniem i mieczem",1999,175,6.7,375,8000000,"drama"
"37478","Oh Marbella!",2003,88,8.6,5,2000000,"comedy"
"37479","Oh My God",2004,10,7.5,20,3500,"comedy"
"37551","Oklahoma!",1955,145,7.2,1873,5000000,"romance"
"37595","Old Man Who Read Love Stories, The",2001,111,6.1,145,9500000,"drama"
"37599","Old Man and the Studio, The",2004,12,7.8,8,15000,"comedy"
"37614","Old School",2003,92,6.7,14283,24000000,"comedy"
"37637","Oligarkh",2002,123,6.2,282,5000000,"drama"
"37648","Oliver Twist",1922,98,7,62,175000,"drama"
"37655","Oliver!",1968,153,7.3,3310,10000000,"drama"
"37695","Omaha (The Movie)",1995,85,5.2,92,38000,"comedy"
"37708","Omen, The",1976,107,7.3,7895,2800000,"drama"
"37714","On Again Off Again",1937,68,5.8,8,214000,"comedy"
"37736","On Their Knees",2001,85,5.5,26,250000,"comedy"
"37761","On the Border",1998,103,4.8,165,3000000,"drama"
"37790","On the Run",1999,94,6.6,128,750000,"comedy"
"37792","On the Town",1949,98,7.7,1898,2111250,"comedy"
"37803","Once Bitten",1985,94,4.8,1556,3200000,"comedy"
"37818","Once Upon a Time in America",1984,227,8.2,19292,30000000,"drama"
"37819","Once Upon a Time in Mexico",2003,102,6,14732,29000000,"action"
"37844","One",1998,102,6.3,49,180000,"drama"
"37848","One Angry Dwarf",2001,28,8.5,16,3500,"comedy"
"37869","One Eight Seven",1997,119,6.3,2958,23000000,"drama"
"37872","One Eyed King",2001,105,5.1,81,6500000,"drama"
"37876","One Flew Over the Cuckoo's Nest",1975,133,8.7,70234,4400000,"drama"
"37889","One Hell of a Christmas",2002,94,2.7,70,400000,"comedy"
"37891","One Hour Photo",2002,96,7.1,17130,12000000,"drama"
"37893","One Hundred Men and a Girl",1937,85,6.9,100,762000,"comedy"
"37921","One More Round",2005,90,8.8,13,200000,"comedy"
"37930","One Night Stand",1997,102,5.7,1709,24000000,"drama"
"37940","One Particular Person",2000,10,8.5,6,6000,"comedy"
"37944","One Rainy Afternoon",1936,94,6,13,511383,"comedy"
"37964","One True Thing",1998,127,7,2534,30000000,"drama"
"37985","One of Five",2002,28,7.5,8,10000,"documentary"
"37993","One, Two, Three",1961,115,7.8,2551,3000000,"comedy"
"38010","Only Game in Town, The",1970,113,4.8,115,11000000,"drama"
"38037","Ono",2004,101,5.9,23,92000,"drama"
"38061","Open Range",2003,139,7.5,8799,26000000,"drama"
"38066","Open Water",2003,79,6.1,7204,130000,"drama"
"38182","Ordinary People",1980,124,7.9,6785,6000000,"drama"
"38203","Orgazmo",1997,92,5.7,5128,1000000,"comedy"
"38214","Original Gangstas",1996,99,5.3,216,4800000,"drama"
"38262","Osama",2003,83,7.5,1546,46000,"drama"
"38322","Othello",1995,123,6.8,1852,11000000,"drama"
"38335","Other Side of Heaven, The",2001,113,6.5,683,7000000,"drama"
"38349","Others, The",2001,104,7.8,36914,17000000,"drama"
"38370","Otra conquista, La",1998,106,6.7,140,3500000,"drama"
"38396","Our Gang Follies of 1938",1937,21,6.8,63,58815,"comedy"
"38441","Out Cold",2001,92,5.2,1990,11000000,"comedy"
"38453","Out for a Kill",2003,88,3,818,20000000,"action"
"38462","Out of Courage 2: Out for Vengeance",1999,28,5.3,38,10000,"action"
"38466","Out of Our Dens: The Richard and the Young Lions Story",2004,47,9.8,8,8000,"documentary"
"38484","Out of the Dark",1989,89,4.5,53,1600000,"comedy"
"38500","Out-of-Sync",1995,105,4.7,37,1500000,"drama"
"38502","Out-of-Towners, The",1999,90,5,2919,40000000,"comedy"
"38505","Outbreak",1995,127,6.4,13796,50000000,"drama"
"38520","Outfoxed: Rupert Murdoch's War on Journalism",2004,88,7.8,1382,200000,"documentary"
"38522","Outland",1981,109,6.3,3539,16000000,"action"
"38523","Outlaw Blues",1977,100,5,61,1900000,"drama"
"38553","Outsiders, The",1983,91,6.8,7125,10000000,"drama"
"38605","Owning Mahowny",2003,104,7,1999,10000000,"drama"
"38615","Oz",1976,90,3.8,25,150000,"comedy"
"38639","P.S. Your Cat Is Dead",2002,88,4.7,185,2000000,"comedy"
"38643","PCU",1994,79,5.9,2963,9000000,"comedy"
"38644","PG",2002,22,6.3,6,15000,"drama"
"38678","Packing Suburbia, A",1999,90,4.5,38,40000,"drama"
"38707","Pagan Love Song",1950,76,5.7,32,1906265,"romance"
"38714","Paging Emma",1999,112,6.2,8,600000,"drama"
"38730","Paint Your Wagon",1969,158,6.5,2011,20000000,"comedy"
"38819","Panama Hattie",1942,79,6.2,51,1097907,"comedy"
"38825","Pandaemonium",2000,124,6.2,244,15000000,"drama"
"38852","Panic Room",2002,113,7,24302,48000000,"drama"
"38888","Papa",2004,94,8.1,85,3500000,"drama"
"38903","Paparazzi",2004,84,5.6,2028,20000000,"drama"
"38930","Papillon",1973,150,7.8,9553,12000000,"drama"
"38954","Parachute Jumper",1933,65,6.7,115,206000,"drama"
"38961","Paradine Case, The",1947,94,6.3,1243,4258000,"drama"
"38991","Paradzhanov",1998,60,2.3,6,121000,"documentary"
"39044","Parents",1989,81,5.9,625,3000000,"comedy"
"39046","Parents of the Year",2004,21,7.8,6,100000,"documentary"
"39070","Paris Is Burning",1990,71,7,340,500000,"documentary"
"39098","Parnell",1937,118,4.5,53,1547000,"drama"
"39144","Party Monster",2003,98,5.8,1976,5000000,"drama"
"39151","Party, The",1968,99,7.4,4235,1500000,"comedy"
"39196","Passage to Ottawa, A",2001,90,6.3,31,300000,"drama"
"39199","Passage, The",2003,77,5.8,12,10000,"action"
"39243","Passion of the Christ, The",2004,127,7.4,34046,30000000,"drama"
"39295","Paths of Glory",1957,87,8.6,14391,935000,"drama"
"39308","Patriot, The",1928,113,6.6,5,1000000,"drama"
"39318","Patrullero, El",1991,105,6.9,117,1500000,"drama"
"39328","Patton",1970,172,8.2,14351,12000000,"drama"
"39357","Pavilion of Women",2001,111,5.3,209,5000000,"drama"
"39364","Pawnbroker, The",1964,116,7.6,1107,500000,"drama"
"39377","Paycheck",2003,119,6.1,10383,60000000,"action"
"39379","Payday",1972,103,6,53,76000,"drama"
"39398","Peacekeeper, The",1997,98,4.6,505,10000000,"action"
"39399","Peacemaker, The",1997,124,5.9,8994,50000000,"action"
"39402","Peaches",2000,84,4.3,37,1400000,"comedy"
"39433","Pecker",1998,87,6.4,4013,6000000,"comedy"
"39445","Pee-wee's Big Adventure",1985,90,6.7,7552,6000000,"comedy"
"39486","Penance",2004,10,8,7,20000,"drama"
"39492","Penelope",1966,97,5.3,142,4000000,"comedy"
"39500","Penitentiary",1980,99,4.6,51,100000,"drama"
"39541","Pep Squad",1998,94,4.4,120,500000,"comedy"
"39566","Per un pugno di dollari",1964,99,7.8,8998,200000,"action"
"39588","Perfect Couple, A",1979,110,5.7,87,1500000,"comedy"
"39604","Perfect Sense",2003,18,8.3,6,2100,"comedy"
"39613","Perfect Target",1997,89,4.2,55,3500000,"action"
"39620","Perfect Woman, The",1993,8,7.8,8,8000,"comedy"
"39649","Permanent Record",1988,91,6.1,360,8000000,"drama"
"39709","Pest, The",1997,84,3.8,1405,17000000,"comedy"
"39723","Pete's Dragon",1977,130,5.8,1584,10000000,"animation"
"39728","Peter Pan",1953,76,7.2,4891,4000000,"animation"
"39729","Peter Pan",2003,113,7.2,5596,100000000,"action"
"39755","Petit soldat, Le",1963,88,7.1,358,180000,"drama"
"39783","Petrified Forest, The",1936,83,7.5,1519,500000,"drama"
"39847","Phantom of the Opera",1943,92,6.6,638,1500000,"drama"
"39852","Phantom of the Paradise",1974,92,6.8,1961,1300000,"comedy"
"39859","Phantom, The",1996,100,5,3329,45000000,"action"
"39878","Philadelphia",1993,125,7.5,17861,26000000,"drama"
"39925","Pianist, The",2002,150,8.5,30467,35000000,"drama"
"39986","Picture of Dorian Gray, The",1945,110,7.6,1456,3500000,"drama"
"40032","Pierrot le fou",1965,110,7.3,1478,300000,"drama"
"40107","Pink Flamingos",1972,108,6.1,2029,12000,"comedy"
"40120","Pink Narcissus",1971,64,5.2,114,27000,"drama"
"40128","Pink Panther Strikes Again, The",1976,103,6.9,3394,6000000,"comedy"
"40161","Pinocchio",1940,88,7.7,6805,2600000,"animation"
"40193","Piranha",1978,94,5.4,1553,660000,"comedy"
"40199","Pirate, The",1948,102,7.1,529,3700000,"comedy"
"40203","Pirates",1986,124,5.5,973,40000000,"comedy"
"40275","Pizza: The Movie",2004,99,7.5,37,10000,"comedy"
"40281","Place Called Chiapas, A",1998,89,6.7,52,891000,"documentary"
"40330","Planet of the Apes",2001,119,5.6,28601,100000000,"action"
"40447","Pledge, The",2001,123,6.9,9852,45000000,"drama"
"40458","Plight of Clownana, The",2004,15,9.9,11,6000,"comedy"
"40470","Plug",1998,11,6.2,28,12000,"animation"
"40522","Pobeg",2005,117,2.6,18,1800000,"drama"
"40565","Point Five",2003,7,9.6,5,3000,"animation"
"40566","Point Men, The",2001,88,4.6,266,6100000,"action"
"40578","Poison",1991,85,6.2,452,250000,"drama"
"40579","Poison Ivy",1992,93,5,2436,3000000,"drama"
"40597","Pol Pot's Birthday",2004,10,8.7,11,9000,"comedy"
"40603","Polar Express, The",2004,99,6.8,4045,150000000,"animation"
"40614","Police Academy",1984,96,5.7,8268,4500000,"comedy"
"40631","Polish Vampire in Burbank",1985,84,3.5,77,3000,"comedy"
"40649","Pollock",2000,132,7.1,4013,6000000,"drama"
"40663","Polyester",1981,86,6.5,1115,300000,"comedy"
"40664","Polymorph",1996,86,5.9,19,10000,"action"
"40689","Pooh's Heffalump Movie",2005,68,6.7,295,20000000,"animation"
"40694","Poolhall Junkies",2002,94,6.6,1411,4000000,"drama"
"40722","Pope of Utah, The",1993,83,7.1,10,40000,"drama"
"40723","Popeye",1980,115,4.8,4822,20000000,"comedy"
"40775","Porky's",1982,94,5.4,5483,4000000,"comedy"
"40790","Porky's II: The Next Day",1983,98,4,1623,6500000,"comedy"
"40805","Porky's Revenge",1985,92,3.7,1143,9000000,"comedy"
"40833","Portal: The Movie",2003,29,8.4,5,15000,"comedy"
"41040","Pray for Death",1985,92,4.4,101,4000000,"action"
"41043","Praying with Anger",1992,107,4.6,80,750000,"drama"
"41057","Predator",1987,107,7.4,25254,18000000,"action"
"41069","Prefontaine",1997,106,6.4,949,8000000,"drama"
"41103","Presence of Mind",1999,94,5.6,98,3000000,"drama"
"41136","Pretend",2003,75,7,8,150000,"drama"
"41149","Pretty Poison",1968,89,7.3,263,1800000,"romance"
"41157","Preventive Warriors",2004,56,9,12,50000,"documentary"
"41173","Price of Glory",2000,118,6.2,265,10000000,"drama"
"41205","Primal Fear",1996,129,7.5,12467,30000000,"drama"
"41220","Prime Time, The",1960,76,1.5,10,150000,"drama"
"41224","Primer",2004,77,6.4,1466,7000,"drama"
"41277","Princess Diaries, The",2001,114,6,6892,37000000,"comedy"
"41283","Princess and the Pirate, The",1944,94,6.7,228,2000000,"comedy"
"41304","Prison",1988,102,5.5,316,4000000,"drama"
"41322","Prisoner of Zenda, The",1979,108,4.3,172,12500000,"comedy"
"41336","Private Detective 62",1933,67,6.6,21,260000,"drama"
"41348","Private Lessons",1981,87,4.4,306,2800000,"comedy"
"41408","Prodigal, The",1955,114,5.2,62,5000000,"drama"
"41411","Producers, The",1968,88,7.8,8142,941000,"comedy"
"41424","Professor Beware",1938,95,7.2,25,820000,"comedy"
"41428","Professor, The",1919,7,6.6,13,1000,"comedy"
"41544","Proverb, The",2004,10,5.4,46,5000,"comedy"
"41558","Prozac Nation",2001,99,6.2,940,9000000,"drama"
"41589","Psycho Beach Party",2000,95,5.7,1404,1500000,"comedy"
"41630","Puddle Cruiser",1996,102,6.3,137,160000,"comedy"
"41661","Pulp Diction",2003,1,6.5,14,1000,"action"
"41662","Pulp Fiction",1994,168,8.8,132745,8000000,"drama"
"41664","Pulse: A Stomp Odyssey",2002,40,8.5,62,3000000,"documentary"
"41683","Punisher, The",1989,92,4.7,2007,10000000,"action"
"41684","Punisher, The",2004,124,6.2,9989,33000000,"action"
"41791","Putney Swope",1969,84,6.3,371,200000,"comedy"
"41821","Q",1982,93,6,578,1200000,"drama"
"41939","Queen's Messenger II",2001,90,6,27,4000000,"action"
"41993","Quick and the Dead, The",1995,107,6.1,8837,32000000,"action"
"42021","Quigley Down Under",1990,119,6.2,2315,20000000,"drama"
"42039","Quo Vadis",1951,166,6.9,1273,7000000,"drama"
"42041","Quo Vadis?",2001,165,6.1,250,18000000,"drama"
"42048","R.M., The",2003,101,5.3,213,500000,"comedy"
"42080","Rabbit-Proof Fence",2002,94,7.7,5079,6000000,"drama"
"42109","Rachel, Rachel",1968,101,7.1,262,700000,"drama"
"42133","Radio",2003,109,6.9,3594,35000000,"drama"
"42135","Radio City Revels",1938,90,6.3,12,810000,"comedy"
"42138","Radio Flyer",1992,114,6.4,2447,35000000,"drama"
"42154","Radius",2004,33,4.4,22,60000,"action"
"42219","Raging Bull",1980,129,8.4,26739,18000000,"drama"
"42237","Raiders of the Lost Ark",1981,115,8.7,93511,20000000,"action"
"42251","Rain People, The",1969,101,6.7,319,750000,"drama"
"42265","Rainbow Thief, The",1990,87,6,49,10000000,"drama"
"42276","Rainmaker, The",1997,135,6.8,8620,40000000,"drama"
"42285","Raisin in the Sun, A",1961,128,7.6,658,1500000,"drama"
"42286","Raising Arizona",1987,94,7.6,19991,6000000,"comedy"
"42322","Rambo III",1988,101,4.1,7631,65000000,"action"
"42343","Rancid Aluminium",2000,88,3.5,352,12000000,"drama"
"42410","Rat Race",2001,112,6.5,13913,48000000,"comedy"
"42428","Rats & Bullies",2004,102,8.6,8,120000,"documentary"
"42453","Rave Macbeth",2001,87,6.2,67,3500000,"drama"
"42503","Razor's Edge, The",1946,146,7.5,473,1200000,"drama"
"42511","Re-Animator",1985,95,6.9,3546,900000,"comedy"
"42525","Real Cancun, The",2003,96,2.8,1504,8000000,"documentary"
"42546","Reality of Life",2002,115,1,13,12000,"drama"
"42551","Realtor, The",2004,10,7,10,25000,"comedy"
"42560","Reasonable Man, A",1999,103,7.3,85,61000,"drama"
"42570","Rebel Love",1986,80,7.2,5,167300,"romance"
"42575","Rebel Without a Cause",1955,111,7.8,11055,1500000,"drama"
"42622","Red Cockroaches",2004,82,7.7,37,2000,"drama"
"42658","Red Planet",2000,106,5.3,8623,75000000,"action"
"42672","Red Scorpion",1989,98,3.6,711,16000000,"action"
"42680","Red Sonja",1985,89,4.3,3947,17900000,"action"
"42702","Redemption: The Stan Tookie Williams Story",2004,95,6.5,350,75000,"drama"
"42716","Ref, The",1994,93,6.8,4791,11000000,"comedy"
"42722","Reflections in a Golden Eye",1967,108,6.3,579,4500000,"drama"
"42773","Reign of Fire",2002,101,5.8,11452,95000000,"action"
"42841","Remember the Titans",2000,113,7.4,14195,30000000,"drama"
"42843","Remembering November",2002,37,9.2,12,2000,"drama"
"42904","Rent Control",1984,95,5.6,9,100000,"comedy"
"42907","Rent's Due",2004,9,9.6,17,3500,"comedy"
"42922","Replacement Killers, The",1998,87,5.8,6825,30000000,"action"
"42923","Replacements, The",2000,114,6.2,7617,50000000,"comedy"
"42925","Repli-Kate",2002,121,5.6,791,4000000,"comedy"
"42949","Requiem for a Dream",2000,102,8.4,47845,4500000,"drama"
"42972","Resident Evil",2002,100,6.2,18978,35000000,"action"
"42973","Resident Evil: Apocalypse",2004,94,5.6,10486,50000000,"action"
"42997","Restoration",1995,117,6.6,1874,18000000,"drama"
"43004","Resurrection Man",1998,102,4.6,214,4000000,"drama"
"43067","Return of the Forest Monster, The",2003,75,5,13,0,"comedy"
"43071","Return of the Living Dead Part II",1988,86,4.8,1275,6200000,"comedy"
"43072","Return of the Living Dead, The",1985,91,6.7,3344,4000000,"comedy"
"43075","Return of the Pink Panther, The",1975,113,6.8,3136,5000000,"comedy"
"43077","Return of the Secaucus 7",1980,110,7.1,525,60000,"drama"
"43081","Return of the Texas Chainsaw Massacre, The",1994,86,2.6,2634,600000,"comedy"
"43087","Return to Innocence",2001,98,7.5,477,100000,"drama"
"43091","Return to Never Land",2002,72,5.8,988,20000000,"animation"
"43105","Return with Honor",1998,102,8.5,91,1000000,"documentary"
"43134","Revenge of the Nerds",1984,90,6,6007,8000000,"comedy"
"43142","Revenge of the Unhappy Campers",2002,102,8.3,28,175000,"comedy"
"43187","Rhino Brothers, The",2001,93,5.4,54,850000,"drama"
"43198","Rhythm Thief",1994,88,6.5,71,30000,"drama"
"43225","Rich in Love",1993,105,6,216,18000000,"drama"
"43228","Richard III",1912,55,6.9,24,30000,"drama"
"43243","Rick, The",2004,21,8.7,7,18000,"comedy"
"43287","Riders",2002,83,5.1,922,15000000,"action"
"43290","Riders of Destiny",1933,53,5.3,101,15000,"romance"
"43339","Right Stuff, The",1983,193,7.9,12907,27000000,"drama"
"43374","Ring, The",2002,115,7.4,30687,45000000,"drama"
"43394","Rio Grande",1950,105,7.3,1732,1214899,"romance"
"43396","Rio Lobo",1970,114,6.6,977,4000000,"romance"
"43397","Rio Peligroso: A Day in the Life of a Legendary Coyote",2004,25,8.8,9,5000,"comedy"
"43420","Ripley's Game",2002,112,6.6,2680,30000000,"drama"
"43426","Riptide",1934,92,6.3,61,500000,"drama"
"43442","Rising of the Moon, The",2002,6,8.3,6,1500,"drama"
"43447","Risky Business",1983,98,6.7,8622,6200000,"comedy"
"43490","River's Edge",1986,99,7.1,2139,1700000,"drama"
"43530","Road Trip",2000,94,6.3,15981,15600000,"comedy"
"43544","Road to Perdition",2002,117,7.7,30526,80000000,"drama"
"43574","Roadside Convenience",2003,15,7.6,6,1000,"action"
"43597","Robbie's Brother",2001,88,7,8,1000000,"comedy"
"43601","Robe, The",1953,135,6.6,1074,5000000,"drama"
"43613","Robin Hood",1922,127,7.5,143,1000000,"romance"
"43639","RoboCop",1987,103,7.1,15974,13000000,"action"
"43640","RoboCop 3",1993,104,3.2,4519,22000000,"action"
"43660","Rock 'n' Roll Frankenstein",1999,88,4.3,66,250000,"comedy"
"43661","Rock 'n' Roll High School",1979,93,6.6,1221,300000,"comedy"
"43713","Rockula",1990,87,4.5,89,1500000,"comedy"
"43718","Rocky Horror Picture Show, The",1975,98,6.8,16737,1200000,"comedy"
"43750","Rogue Trader",1999,101,6.1,1379,12800000,"drama"
"43756","Roi danse, Le",2000,115,5.9,422,21000000,"drama"
"43778","Rollerball",2002,97,2.8,5328,70000000,"action"
"43790","Roma",2004,155,7.5,105,2763806,"drama"
"43801","Roman Scandals",1933,85,6.2,89,1000000,"comedy"
"43849","Romeo Division, The",2004,25,7.2,13,6000,"action"
"43878","Ronin",1998,121,7,21982,55000000,"action"
"43892","Rookie, The",2002,127,7.2,5135,24000000,"drama"
"43912","Root of All Evil, The",2004,101,6.6,5,150000,"comedy"
"43916","Roots of Heaven, The",1958,121,6,91,4500000,"drama"
"43918","Roozi khe zan shodam",2000,78,7.3,227,180000,"drama"
"43941","Rose & Alexander",2002,40,8.9,7,4800,"drama"
"43955","Rose, The",1979,125,6.6,1076,8500000,"drama"
"43966","Rosemary's Baby",1968,136,7.9,12033,3200000,"drama"
"44035","Rounders",1998,121,7.2,13621,12000000,"drama"
"44040","Route 666",2001,86,4,487,2300000,"action"
"44062","Roy",2000,11,6.9,15,500000,"comedy"
"44099","Ruby in Paradise",1993,114,7,827,800000,"drama"
"44107","Rudolph Valentino and His 88 American Beauties",1923,13,4.1,9,0,"documentary"
"44134","Rules of Engagement",2000,128,6.3,7903,60000000,"drama"
"44146","Rumble Fish",1983,94,6.8,3354,10000000,"drama"
"44188","Runaway Jury",2003,127,7.1,10761,60000000,"drama"
"44210","Running Man, The",1987,101,6.2,11847,27000000,"action"
"44325","S.W.A.T.",2003,117,5.9,12732,80000000,"action"
"44339","Saadia",1953,82,4.6,8,1250000,"drama"
"44416","Safe Men",1998,88,6.1,590,1000000,"comedy"
"44443","Sahara",1983,111,3.5,157,25000000,"drama"
"44554","Salton Sea, The",2002,107,7.2,5070,18000000,"drama"
"44565","Salvador",1986,123,7.4,2568,4500000,"drama"
"44695","Sandpiper, The",1965,117,5.4,268,5300000,"drama"
"44721","Sankofa",1993,125,5.9,106,1000000,"drama"
"44762","Santa sangre",1989,123,7.2,1165,787000,"drama"
"44784","Santos peregrinos",2004,94,4.5,20,900000,"comedy"
"44811","Saratoga Trunk",1945,135,5.9,153,1750000,"drama"
"44883","Saturn",1999,94,5.5,43,350000,"drama"
"44903","Savage",1995,99,4.1,93,5000000,"action"
"44950","Saving Ryan's Privates",1998,8,6,74,6500,"comedy"
"44953","Savior",1998,104,7.2,1775,10000000,"drama"
"45033","Scarface",1983,170,7.9,28300,25000000,"drama"
"45045","Scarlet Empress, The",1934,104,7.5,579,900000,"drama"
"45047","Scarlet Letter, The",1926,98,8,132,430290,"drama"
"45055","Scarlett Mecca and the Pentagram Girl",2000,20,6.3,8,20000,"drama"
"45060","Scary Movie",2000,88,5.5,23293,19000000,"comedy"
"45061","Scary Movie 2",2001,83,4.2,12035,45000000,"comedy"
"45062","Scary Movie 3",2003,84,5.3,9225,45000000,"comedy"
"45070","Scene Smoking: Cigarettes, Cinema & the Myth of Cool",2001,59,2.6,28,145000,"documentary"
"45071","Scene Stealers",2004,99,8.6,14,75000,"drama"
"45127","Schindler's List",1993,195,8.8,97667,25000000,"drama"
"45132","Schizopolis",1996,96,7,917,250000,"comedy"
"45152","School Daze",1988,121,5.3,955,6500000,"drama"
"45161","School of Rock, The",2003,108,7.4,16452,20000000,"comedy"
"45205","Scooby-Doo",2002,86,4.8,9618,84000000,"comedy"
"45215","Score, The",2001,124,6.8,16106,68000000,"drama"
"45223","Scorpion King, The",2002,92,5.3,10111,60000000,"action"
"45291","Screen Test",1985,84,3.3,38,1000000,"comedy"
"45296","Screwballs",1983,80,4.3,241,800000,"comedy"
"45298","Screwed",2000,78,4.8,1592,10000000,"comedy"
"45331","Se7en",1995,127,8.4,88371,30000000,"drama"
"45343","Sea Hawk, The",1940,127,7.8,1124,1700000,"romance"
"45362","Seabiscuit",2003,141,7.5,11552,86000000,"drama"
"45386","Searchers, The",1956,119,8.2,10211,3750000,"drama"
"45388","Searching for Angela Shelton",2004,93,8.7,14,300000,"documentary"
"45390","Searching for Debra Winger",2002,97,5.6,301,600000,"documentary"
"45464","Secret Ceremony",1968,109,5.4,146,3200000,"drama"
"45465","Secret Cinema, The",1968,30,7.7,22,5000,"comedy"
"45480","Secret Invasion, The",1964,95,5.7,87,600000,"drama"
"45486","Secret Life of Girls, The",1999,90,5,145,2500000,"comedy"
"45517","Secret Window",2004,96,6.3,13260,40000000,"drama"
"45536","Secret of the Purple Reef, The",1960,81,5.3,12,86000,"drama"
"45591","See Spot Run",2001,94,5,1193,16000000,"comedy"
"45599","Seed of Chucky",2004,87,5.1,1342,12000000,"comedy"
"45654","Selena",1997,127,6.1,2870,20000000,"drama"
"45726","Sensations",1975,86,5.1,23,250000,"drama"
"45733","Sensitive New-Age Killer",2000,88,4.2,31,1000000,"action"
"45774","September",1987,82,6.1,918,10000000,"drama"
"45805","Sergeant York",1941,134,7.9,2239,1400000,"drama"
"45818","Serial Mom",1994,95,6.3,4750,13000000,"comedy"
"45820","Series of Small Things, A",2005,23,8.4,7,15000,"drama"
"45828","Serpent's Kiss, The",1997,104,5.3,368,13000000,"drama"
"45845","Session 9",2001,97,6.6,3718,1500000,"drama"
"45901","Seven Days in May",1964,118,7.8,1960,2200000,"drama"
"45937","Seven Year Itch, The",1955,105,7.2,3211,3200000,"comedy"
"45939","Seven Years in Tibet",1997,139,6.6,9426,70000000,"drama"
"46013","Sex, Lies, and Videotape",1989,100,7.1,7461,1200000,"drama"
"46057","Sgt. Bilko",1996,93,5.1,3712,39000000,"comedy"
"46062","Sh'Chur",1994,100,6.7,18,700000,"drama"
"46073","Shade",2003,101,6.5,1616,6800000,"drama"
"46083","Shadow Conspiracy",1997,103,4.5,1078,45000000,"action"
"46122","Shadow, The",1994,108,5.2,3386,40000000,"action"
"46142","Shaft",2000,99,6,13742,46000000,"action"
"46163","Shakes the Clown",1992,87,5.5,838,1400000,"comedy"
"46165","Shakespeare's Children",1996,50,5.1,12,100000,"documentary"
"46181","Shallow Grave",1994,93,7.4,9401,2500000,"drama"
"46189","Shampoo Horns",1998,89,4.3,21,2500000,"drama"
"46199","Shanghai Gesture, The",1941,98,6.7,233,1000000,"drama"
"46235","Shape of Things, The",2003,96,6.9,1816,4000000,"drama"
"46241","Shards",2004,23,7.7,6,38000,"drama"
"46254","Sharks 3D",2004,42,7.8,6,4000000,"documentary"
"46263","Shattered Glass",2003,95,7.5,4108,6000000,"drama"
"46266","Shaun of the Dead",2004,99,7.9,18685,4000000,"comedy"
"46269","Shawshank Redemption, The",1994,142,9.1,149494,25000000,"drama"
"46286","She Done Him Wrong",1933,66,6.8,512,200000,"comedy"
"46291","She Had to Say Yes",1933,65,6,42,111000,"drama"
"46303","She Wore a Yellow Ribbon",1949,103,7.5,2242,1600000,"romance"
"46349","Shelter",2003,80,4.6,5,125000,"drama"
"46505","Shock Treatment",1981,94,4.5,572,3500000,"comedy"
"46509","Shock, The",1923,96,7,27,90220,"drama"
"46546","Shooter",2004,24,7,11,25000,"drama"
"46579","Short Cut to Nirvana: Kumbh Mela",2004,85,8.6,31,200000,"documentary"
"46593","Shot at Glory, A",2000,114,6.3,286,9000000,"drama"
"46602","Shotgun Wedding",2003,24,9.1,8,2000,"comedy"
"46634","Showboy",2002,93,4.5,67,300000,"comedy"
"46644","Showgirls",1995,131,3.8,11483,45000000,"drama"
"46660","Shtei Etzbaot Mi'Tzidon",1986,91,8.5,22,80000,"drama"
"46726","Sid and Nancy",1986,110,7,3057,4000000,"drama"
"46801","Sign of the Pagan",1954,92,5.7,79,1300000,"drama"
"46826","Signs",2002,108,7.1,40285,72000000,"drama"
"46859","Silent Cry",2002,85,3.7,39,4500000,"drama"
"46870","Silent Movie",1976,87,6.3,2321,4400000,"comedy"
